threshold,num_matches,correct,accuracy
2,15852,8023,0.5061
4,8095,4134,0.5107
6,3419,1788,0.5230
8,1216,645,0.5304
10,341,190,0.5572
12,85,42,0.4941
14,20,11,0.5500
16,7,4,0.5714
18,0,0,0.0000
20,0,0,0.0000
22,0,0,0.0000
24,0,0,0.0000
26,0,0,0.0000
28,0,0,0.0000
30,0,0,0.0000
